query-id	corpus-id	score
sciq-test_0	test_0	1
sciq-test_1	test_1	1
sciq-test_2	test_2	1
sciq-test_3	test_3	1
sciq-test_4	test_4	1
sciq-test_5	test_5	1
sciq-test_6	test_6	1
sciq-test_7	test_7	1
sciq-test_8	test_8	1
sciq-test_9	test_9	1
sciq-test_10	test_10	1
sciq-test_11	test_11	1
sciq-test_12	test_12	1
sciq-test_13	test_13	1
sciq-test_14	test_14	1
sciq-test_15	test_15	1
sciq-test_16	test_16	1
sciq-test_17	test_17	1
sciq-test_18	test_18	1
sciq-test_19	test_19	1
sciq-test_20	test_20	1
sciq-test_21	test_21	1
sciq-test_22	test_22	1
sciq-test_23	test_23	1
sciq-test_24	test_24	1
sciq-test_25	test_25	1
sciq-test_26	test_26	1
sciq-test_27	test_27	1
sciq-test_28	test_28	1
sciq-test_29	test_29	1
sciq-test_30	test_30	1
sciq-test_31	test_31	1
sciq-test_32	test_32	1
sciq-test_33	test_33	1
sciq-test_34	test_34	1
sciq-test_36	test_36	1
sciq-test_38	test_38	1
sciq-test_39	test_39	1
sciq-test_40	test_40	1
sciq-test_43	test_43	1
sciq-test_44	test_44	1
sciq-test_45	test_45	1
sciq-test_46	test_46	1
sciq-test_47	test_47	1
sciq-test_50	test_50	1
sciq-test_51	test_51	1
sciq-test_52	test_52	1
sciq-test_53	test_53	1
sciq-test_54	test_54	1
sciq-test_55	test_55	1
sciq-test_57	test_57	1
sciq-test_58	test_58	1
sciq-test_59	test_59	1
sciq-test_60	test_60	1
sciq-test_61	test_61	1
sciq-test_62	test_62	1
sciq-test_63	test_63	1
sciq-test_64	test_64	1
sciq-test_65	test_65	1
sciq-test_68	test_68	1
sciq-test_69	test_69	1
sciq-test_70	test_70	1
sciq-test_71	test_71	1
sciq-test_72	test_72	1
sciq-test_73	test_73	1
sciq-test_74	test_74	1
sciq-test_76	test_76	1
sciq-test_77	test_77	1
sciq-test_79	test_79	1
sciq-test_80	test_80	1
sciq-test_81	test_81	1
sciq-test_82	test_82	1
sciq-test_83	test_83	1
sciq-test_84	test_84	1
sciq-test_85	test_85	1
sciq-test_86	test_86	1
sciq-test_87	test_87	1
sciq-test_89	test_89	1
sciq-test_90	test_90	1
sciq-test_92	test_92	1
sciq-test_93	test_93	1
sciq-test_94	test_94	1
sciq-test_95	test_95	1
sciq-test_96	test_96	1
sciq-test_97	test_97	1
sciq-test_98	test_98	1
sciq-test_99	test_99	1
sciq-test_101	test_101	1
sciq-test_102	test_102	1
sciq-test_103	test_103	1
sciq-test_104	test_104	1
sciq-test_105	test_105	1
sciq-test_106	test_106	1
sciq-test_107	test_107	1
sciq-test_108	test_108	1
sciq-test_109	test_109	1
sciq-test_110	test_110	1
sciq-test_111	test_111	1
sciq-test_112	test_112	1
sciq-test_113	test_113	1
sciq-test_114	test_114	1
sciq-test_115	test_115	1
sciq-test_116	test_116	1
sciq-test_117	test_117	1
sciq-test_118	test_118	1
sciq-test_120	test_120	1
sciq-test_121	test_121	1
sciq-test_122	test_122	1
sciq-test_124	test_124	1
sciq-test_125	test_125	1
sciq-test_126	test_126	1
sciq-test_127	test_127	1
sciq-test_128	test_128	1
sciq-test_129	test_129	1
sciq-test_130	test_130	1
sciq-test_131	test_131	1
sciq-test_132	test_132	1
